POLYMERMW
--g/mol
18000000 /

PRESSURE
10 /

DIMENSION
295 1 1 /

EXPERIMENT
--time inj rate poly con. pro oil pro wat   Dp
--(h)  (ml/h)    (ppm)    (ml/h)  (ml/h)  (atm)
    0	  8      1000	   8	   0	   0
    1	  8      1000	   7.999   0	   0.172
    2	  8      1000	   7.999   0	   0.225
    3	  8      1000 	   7.999   0	   0.306
    4	  8      1000	   7.989   0.010   0.394
    5	  8      1000	   3.899   4.100   0.505
    6	  8      1000	   2.650   5.349   0.593
    7	  8      1000	   1.236   6.763   0.733
    8	  8      1000 	   0.375   7.624   0.785
    9	  8      1000	   0.206   7.793   0.772
    10	  8      1000	   0.167   7.832   0.762
    12	  8      1000	   0.115   7.884   0.748
    14	  8      1000	   0.074   7.925   0.739
    16	  8      1000	   0.047   7.952   0.732
    18	  8      1000	   0.034   7.965   0.728 /
